2023 03 26 - 03:23:02 
The current area is Eagle River:
Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-02-26T02:00:00,2023-03-25T17:22:01,-39,48.06,6.3,43.687
2023-02-26T03:00:00,2023-03-25T17:21:01,-54.6,63.78,8.9,40.918
2023-02-26T04:00:00,2023-03-25T17:20:01,90.6,38.33,1.3,39.083
2023-02-26T05:00:00,2023-03-25T17:19:01,46,65.13,9,42.587
2023-02-26T06:00:00,2023-03-25T17:18:01,43.4,58.27,7.3,35.559
2023-02-26T07:00:00,2023-03-25T17:17:01,23.4,39.48,8.8,39.515
2023-02-26T08:00:00,2023-03-25T17:16:01,-41.2,39.82,2.5,29.089
2023-02-26T09:00:00,2023-03-25T17:15:01,62.2,35.96,0.6,33.259
2023-02-26T10:00:00,2023-03-25T17:14:01,8.3,64.22,9.4,45.902
2023-02-26T11:00:00,2023-03-25T17:13:01,-31.3,34.89,3.9,33.526
2023-02-26T12:00:00,2023-03-25T17:12:01,-12.8,49.78,4.1,32.547
2023-02-26T13:00:00,2023-03-25T17:11:01,-13.6,31.64,7.7,32.78
2023-02-26T14:00:00,2023-03-25T17:10:01,-16.7,34.23,4.5,45.347
2023-02-26T15:00:00,2023-03-25T17:09:01,-18.1,67.53,1.5,40.925
2023-02-26T16:00:00,2023-03-25T17:08:01,-36.7,67.9,7.4,38.54
2023-02-26T17:00:00,2023-03-25T17:07:01,28.1,35.65,3.8,42.66
2023-02-26T18:00:00,2023-03-25T17:06:01,-43.4,58.46,3.4,38.734
2023-02-26T19:00:00,2023-03-25T17:05:01,78.2,47.86,7.2,29.354
2023-02-26T20:00:00,2023-03-25T17:04:01,59.5,40.38,4.7,39.824
2023-02-26T21:00:00,2023-03-25T17:03:01,29.1,63.35,9.4,48.053
2023-02-26T22:00:00,2023-03-25T17:02:02,-21,68.16,2.4,33.731
2023-02-26T23:00:00,2023-03-25T17:01:01,12.9,30.82,5.1,49.371
2023-02-27T00:00:00,2023-03-25T17:00:01,19.1,60.48,3.3,46.368

2023 03 26 - 03:23:02 
The current area is Eagle River:
Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-02-26T01:00:00,2023-03-25T17:23:01,67.3,65.27,5.4,47.494
2023-02-26T02:00:00,2023-03-25T17:22:01,-39,48.06,6.3,43.687
2023-02-26T03:00:00,2023-03-25T17:21:01,-54.6,63.78,8.9,40.918
2023-02-26T04:00:00,2023-03-25T17:20:01,90.6,38.33,1.3,39.083
2023-02-26T05:00:00,2023-03-25T17:19:01,46,65.13,9,42.587
2023-02-26T06:00:00,2023-03-25T17:18:01,43.4,58.27,7.3,35.559
2023-02-26T07:00:00,2023-03-25T17:17:01,23.4,39.48,8.8,39.515
2023-02-26T08:00:00,2023-03-25T17:16:01,-41.2,39.82,2.5,29.089
2023-02-26T09:00:00,2023-03-25T17:15:01,62.2,35.96,0.6,33.259
2023-02-26T10:00:00,2023-03-25T17:14:01,8.3,64.22,9.4,45.902
2023-02-26T11:00:00,2023-03-25T17:13:01,-31.3,34.89,3.9,33.526
2023-02-26T12:00:00,2023-03-25T17:12:01,-12.8,49.78,4.1,32.547
2023-02-26T13:00:00,2023-03-25T17:11:01,-13.6,31.64,7.7,32.78
2023-02-26T14:00:00,2023-03-25T17:10:01,-16.7,34.23,4.5,45.347
2023-02-26T15:00:00,2023-03-25T17:09:01,-18.1,67.53,1.5,40.925
2023-02-26T16:00:00,2023-03-25T17:08:01,-36.7,67.9,7.4,38.54
2023-02-26T17:00:00,2023-03-25T17:07:01,28.1,35.65,3.8,42.66
2023-02-26T18:00:00,2023-03-25T17:06:01,-43.4,58.46,3.4,38.734
2023-02-26T19:00:00,2023-03-25T17:05:01,78.2,47.86,7.2,29.354
2023-02-26T20:00:00,2023-03-25T17:04:01,59.5,40.38,4.7,39.824
2023-02-26T21:00:00,2023-03-25T17:03:01,29.1,63.35,9.4,48.053
2023-02-26T22:00:00,2023-03-25T17:02:02,-21,68.16,2.4,33.731
2023-02-26T23:00:00,2023-03-25T17:01:01,12.9,30.82,5.1,49.371
2023-02-27T00:00:00,2023-03-25T17:00:01,19.1,60.48,3.3,46.368

2023 03 26 - 03:23:02 
The current area is Eagle River:
Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-02-26T01:00:00,2023-03-25T17:23:01,67.3,65.27,5.4,47.494
2023-02-26T02:00:00,2023-03-25T17:22:01,-39,48.06,6.3,43.687
2023-02-26T03:00:00,2023-03-25T17:21:01,-54.6,63.78,8.9,40.918
2023-02-26T04:00:00,2023-03-25T17:20:01,90.6,38.33,1.3,39.083
2023-02-26T05:00:00,2023-03-25T17:19:01,46,65.13,9,42.587
2023-02-26T06:00:00,2023-03-25T17:18:01,43.4,58.27,7.3,35.559
2023-02-26T07:00:00,2023-03-25T17:17:01,23.4,39.48,8.8,39.515
2023-02-26T08:00:00,2023-03-25T17:16:01,-41.2,39.82,2.5,29.089
2023-02-26T09:00:00,2023-03-25T17:15:01,62.2,35.96,0.6,33.259
2023-02-26T10:00:00,2023-03-25T17:14:01,8.3,64.22,9.4,45.902
2023-02-26T11:00:00,2023-03-25T17:13:01,-31.3,34.89,3.9,33.526
2023-02-26T12:00:00,2023-03-25T17:12:01,-12.8,49.78,4.1,32.547
2023-02-26T13:00:00,2023-03-25T17:11:01,-13.6,31.64,7.7,32.78
2023-02-26T14:00:00,2023-03-25T17:10:01,-16.7,34.23,4.5,45.347
2023-02-26T15:00:00,2023-03-25T17:09:01,-18.1,67.53,1.5,40.925
2023-02-26T16:00:00,2023-03-25T17:08:01,-36.7,67.9,7.4,38.54
2023-02-26T17:00:00,2023-03-25T17:07:01,28.1,35.65,3.8,42.66
2023-02-26T18:00:00,2023-03-25T17:06:01,-43.4,58.46,3.4,38.734
2023-02-26T19:00:00,2023-03-25T17:05:01,78.2,47.86,7.2,29.354
2023-02-26T20:00:00,2023-03-25T17:04:01,59.5,40.38,4.7,39.824
2023-02-26T21:00:00,2023-03-25T17:03:01,29.1,63.35,9.4,48.053
2023-02-26T22:00:00,2023-03-25T17:02:02,-21,68.16,2.4,33.731
2023-02-26T23:00:00,2023-03-25T17:01:01,12.9,30.82,5.1,49.371
2023-02-27T00:00:00,2023-03-25T17:00:01,19.1,60.48,3.3,46.368

2023 03 26 - 03:23:02 
The current area is Eagle River:
Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-02-26T01:00:00,2023-03-25T17:23:01,67.3,65.27,5.4,47.494
2023-02-26T02:00:00,2023-03-25T17:22:01,-39,48.06,6.3,43.687
2023-02-26T03:00:00,2023-03-25T17:21:01,-54.6,63.78,8.9,40.918
2023-02-26T04:00:00,2023-03-25T17:20:01,90.6,38.33,1.3,39.083
2023-02-26T05:00:00,2023-03-25T17:19:01,46,65.13,9,42.587
2023-02-26T06:00:00,2023-03-25T17:18:01,43.4,58.27,7.3,35.559
2023-02-26T07:00:00,2023-03-25T17:17:01,23.4,39.48,8.8,39.515
2023-02-26T08:00:00,2023-03-25T17:16:01,-41.2,39.82,2.5,29.089
2023-02-26T09:00:00,2023-03-25T17:15:01,62.2,35.96,0.6,33.259
2023-02-26T10:00:00,2023-03-25T17:14:01,8.3,64.22,9.4,45.902
2023-02-26T11:00:00,2023-03-25T17:13:01,-31.3,34.89,3.9,33.526
2023-02-26T12:00:00,2023-03-25T17:12:01,-12.8,49.78,4.1,32.547
2023-02-26T13:00:00,2023-03-25T17:11:01,-13.6,31.64,7.7,32.78
2023-02-26T14:00:00,2023-03-25T17:10:01,-16.7,34.23,4.5,45.347
2023-02-26T15:00:00,2023-03-25T17:09:01,-18.1,67.53,1.5,40.925
2023-02-26T16:00:00,2023-03-25T17:08:01,-36.7,67.9,7.4,38.54
2023-02-26T17:00:00,2023-03-25T17:07:01,28.1,35.65,3.8,42.66
2023-02-26T18:00:00,2023-03-25T17:06:01,-43.4,58.46,3.4,38.734
2023-02-26T19:00:00,2023-03-25T17:05:01,78.2,47.86,7.2,29.354
2023-02-26T20:00:00,2023-03-25T17:04:01,59.5,40.38,4.7,39.824
2023-02-26T21:00:00,2023-03-25T17:03:01,29.1,63.35,9.4,48.053
2023-02-26T22:00:00,2023-03-25T17:02:02,-21,68.16,2.4,33.731
2023-02-26T23:00:00,2023-03-25T17:01:01,12.9,30.82,5.1,49.371
2023-02-27T00:00:00,2023-03-25T17:00:01,19.1,60.48,3.3,46.368

2023 03 26 - 03:23:02 
The current area is Eagle River:
Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-02-26T01:00:00,2023-03-25T17:23:01,67.3,65.27,5.4,47.494
2023-02-26T02:00:00,2023-03-25T17:22:01,-39,48.06,6.3,43.687
2023-02-26T03:00:00,2023-03-25T17:21:01,-54.6,63.78,8.9,40.918
2023-02-26T04:00:00,2023-03-25T17:20:01,90.6,38.33,1.3,39.083
2023-02-26T05:00:00,2023-03-25T17:19:01,46,65.13,9,42.587
2023-02-26T06:00:00,2023-03-25T17:18:01,43.4,58.27,7.3,35.559
2023-02-26T07:00:00,2023-03-25T17:17:01,23.4,39.48,8.8,39.515
2023-02-26T08:00:00,2023-03-25T17:16:01,-41.2,39.82,2.5,29.089
2023-02-26T09:00:00,2023-03-25T17:15:01,62.2,35.96,0.6,33.259
2023-02-26T10:00:00,2023-03-25T17:14:01,8.3,64.22,9.4,45.902
2023-02-26T11:00:00,2023-03-25T17:13:01,-31.3,34.89,3.9,33.526
2023-02-26T12:00:00,2023-03-25T17:12:01,-12.8,49.78,4.1,32.547
2023-02-26T13:00:00,2023-03-25T17:11:01,-13.6,31.64,7.7,32.78
2023-02-26T14:00:00,2023-03-25T17:10:01,-16.7,34.23,4.5,45.347
2023-02-26T15:00:00,2023-03-25T17:09:01,-18.1,67.53,1.5,40.925
2023-02-26T16:00:00,2023-03-25T17:08:01,-36.7,67.9,7.4,38.54
2023-02-26T17:00:00,2023-03-25T17:07:01,28.1,35.65,3.8,42.66
2023-02-26T18:00:00,2023-03-25T17:06:01,-43.4,58.46,3.4,38.734
2023-02-26T19:00:00,2023-03-25T17:05:01,78.2,47.86,7.2,29.354
2023-02-26T20:00:00,2023-03-25T17:04:01,59.5,40.38,4.7,39.824
2023-02-26T21:00:00,2023-03-25T17:03:01,29.1,63.35,9.4,48.053
2023-02-26T22:00:00,2023-03-25T17:02:02,-21,68.16,2.4,33.731
2023-02-26T23:00:00,2023-03-25T17:01:01,12.9,30.82,5.1,49.371
2023-02-27T00:00:00,2023-03-25T17:00:01,19.1,60.48,3.3,46.368

2023 03 26 - 03:23:02 
The current area is Eagle River:
Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-02-26T01:00:00,2023-03-25T17:23:01,67.3,65.27,5.4,47.494
2023-02-26T02:00:00,2023-03-25T17:22:01,-39,48.06,6.3,43.687
2023-02-26T03:00:00,2023-03-25T17:21:01,-54.6,63.78,8.9,40.918
2023-02-26T04:00:00,2023-03-25T17:20:01,90.6,38.33,1.3,39.083
2023-02-26T05:00:00,2023-03-25T17:19:01,46,65.13,9,42.587
2023-02-26T06:00:00,2023-03-25T17:18:01,43.4,58.27,7.3,35.559
2023-02-26T07:00:00,2023-03-25T17:17:01,23.4,39.48,8.8,39.515
2023-02-26T08:00:00,2023-03-25T17:16:01,-41.2,39.82,2.5,29.089
2023-02-26T09:00:00,2023-03-25T17:15:01,62.2,35.96,0.6,33.259
2023-02-26T10:00:00,2023-03-25T17:14:01,8.3,64.22,9.4,45.902
2023-02-26T11:00:00,2023-03-25T17:13:01,-31.3,34.89,3.9,33.526
2023-02-26T12:00:00,2023-03-25T17:12:01,-12.8,49.78,4.1,32.547
2023-02-26T13:00:00,2023-03-25T17:11:01,-13.6,31.64,7.7,32.78
2023-02-26T14:00:00,2023-03-25T17:10:01,-16.7,34.23,4.5,45.347
2023-02-26T15:00:00,2023-03-25T17:09:01,-18.1,67.53,1.5,40.925
2023-02-26T16:00:00,2023-03-25T17:08:01,-36.7,67.9,7.4,38.54
2023-02-26T17:00:00,2023-03-25T17:07:01,28.1,35.65,3.8,42.66
2023-02-26T18:00:00,2023-03-25T17:06:01,-43.4,58.46,3.4,38.734
2023-02-26T19:00:00,2023-03-25T17:05:01,78.2,47.86,7.2,29.354
2023-02-26T20:00:00,2023-03-25T17:04:01,59.5,40.38,4.7,39.824
2023-02-26T21:00:00,2023-03-25T17:03:01,29.1,63.35,9.4,48.053
2023-02-26T22:00:00,2023-03-25T17:02:02,-21,68.16,2.4,33.731
2023-02-26T23:00:00,2023-03-25T17:01:01,12.9,30.82,5.1,49.371
2023-02-27T00:00:00,2023-03-25T17:00:01,19.1,60.48,3.3,46.368

2023 03 26 - 03:23:02 
The current area is Eagle River:
Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-02-26T01:00:00,2023-03-25T17:23:01,67.3,65.27,5.4,47.494
2023-02-26T02:00:00,2023-03-25T17:22:01,-39,48.06,6.3,43.687
2023-02-26T03:00:00,2023-03-25T17:21:01,-54.6,63.78,8.9,40.918
2023-02-26T04:00:00,2023-03-25T17:20:01,90.6,38.33,1.3,39.083
2023-02-26T05:00:00,2023-03-25T17:19:01,46,65.13,9,42.587
2023-02-26T06:00:00,2023-03-25T17:18:01,43.4,58.27,7.3,35.559
2023-02-26T07:00:00,2023-03-25T17:17:01,23.4,39.48,8.8,39.515
2023-02-26T08:00:00,2023-03-25T17:16:01,-41.2,39.82,2.5,29.089
2023-02-26T09:00:00,2023-03-25T17:15:01,62.2,35.96,0.6,33.259
2023-02-26T10:00:00,2023-03-25T17:14:01,8.3,64.22,9.4,45.902
2023-02-26T11:00:00,2023-03-25T17:13:01,-31.3,34.89,3.9,33.526
2023-02-26T12:00:00,2023-03-25T17:12:01,-12.8,49.78,4.1,32.547
2023-02-26T13:00:00,2023-03-25T17:11:01,-13.6,31.64,7.7,32.78
2023-02-26T14:00:00,2023-03-25T17:10:01,-16.7,34.23,4.5,45.347
2023-02-26T15:00:00,2023-03-25T17:09:01,-18.1,67.53,1.5,40.925
2023-02-26T16:00:00,2023-03-25T17:08:01,-36.7,67.9,7.4,38.54
2023-02-26T17:00:00,2023-03-25T17:07:01,28.1,35.65,3.8,42.66
2023-02-26T18:00:00,2023-03-25T17:06:01,-43.4,58.46,3.4,38.734
2023-02-26T19:00:00,2023-03-25T17:05:01,78.2,47.86,7.2,29.354
2023-02-26T20:00:00,2023-03-25T17:04:01,59.5,40.38,4.7,39.824
2023-02-26T21:00:00,2023-03-25T17:03:01,29.1,63.35,9.4,48.053
2023-02-26T22:00:00,2023-03-25T17:02:02,-21,68.16,2.4,33.731
2023-02-26T23:00:00,2023-03-25T17:01:01,12.9,30.82,5.1,49.371
2023-02-27T00:00:00,2023-03-25T17:00:01,19.1,60.48,3.3,46.368

2023 03 26 - 03:23:02 
The current area is Eagle River:
Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-02-26T01:00:00,2023-03-25T17:23:01,67.3,65.27,5.4,47.494
2023-02-26T02:00:00,2023-03-25T17:22:01,-39,48.06,6.3,43.687
2023-02-26T03:00:00,2023-03-25T17:21:01,-54.6,63.78,8.9,40.918
2023-02-26T04:00:00,2023-03-25T17:20:01,90.6,38.33,1.3,39.083
2023-02-26T05:00:00,2023-03-25T17:19:01,46,65.13,9,42.587
2023-02-26T06:00:00,2023-03-25T17:18:01,43.4,58.27,7.3,35.559
2023-02-26T07:00:00,2023-03-25T17:17:01,23.4,39.48,8.8,39.515
2023-02-26T08:00:00,2023-03-25T17:16:01,-41.2,39.82,2.5,29.089
2023-02-26T09:00:00,2023-03-25T17:15:01,62.2,35.96,0.6,33.259
2023-02-26T10:00:00,2023-03-25T17:14:01,8.3,64.22,9.4,45.902
2023-02-26T11:00:00,2023-03-25T17:13:01,-31.3,34.89,3.9,33.526
2023-02-26T12:00:00,2023-03-25T17:12:01,-12.8,49.78,4.1,32.547
2023-02-26T13:00:00,2023-03-25T17:11:01,-13.6,31.64,7.7,32.78
2023-02-26T14:00:00,2023-03-25T17:10:01,-16.7,34.23,4.5,45.347
2023-02-26T15:00:00,2023-03-25T17:09:01,-18.1,67.53,1.5,40.925
2023-02-26T16:00:00,2023-03-25T17:08:01,-36.7,67.9,7.4,38.54
2023-02-26T17:00:00,2023-03-25T17:07:01,28.1,35.65,3.8,42.66
2023-02-26T18:00:00,2023-03-25T17:06:01,-43.4,58.46,3.4,38.734
2023-02-26T19:00:00,2023-03-25T17:05:01,78.2,47.86,7.2,29.354
2023-02-26T20:00:00,2023-03-25T17:04:01,59.5,40.38,4.7,39.824
2023-02-26T21:00:00,2023-03-25T17:03:01,29.1,63.35,9.4,48.053
2023-02-26T22:00:00,2023-03-25T17:02:02,-21,68.16,2.4,33.731
2023-02-26T23:00:00,2023-03-25T17:01:01,12.9,30.82,5.1,49.371
2023-02-27T00:00:00,2023-03-25T17:00:01,19.1,60.48,3.3,46.368

2023 03 26 - 03:23:02 
The current area is Eagle River:
Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-02-26T01:00:00,2023-03-25T17:23:01,67.3,65.27,5.4,47.494
2023-02-26T02:00:00,2023-03-25T17:22:01,-39,48.06,6.3,43.687
2023-02-26T03:00:00,2023-03-25T17:21:01,-54.6,63.78,8.9,40.918
2023-02-26T04:00:00,2023-03-25T17:20:01,90.6,38.33,1.3,39.083
2023-02-26T05:00:00,2023-03-25T17:19:01,46,65.13,9,42.587
2023-02-26T06:00:00,2023-03-25T17:18:01,43.4,58.27,7.3,35.559
2023-02-26T07:00:00,2023-03-25T17:17:01,23.4,39.48,8.8,39.515
2023-02-26T08:00:00,2023-03-25T17:16:01,-41.2,39.82,2.5,29.089
2023-02-26T09:00:00,2023-03-25T17:15:01,62.2,35.96,0.6,33.259
2023-02-26T10:00:00,2023-03-25T17:14:01,8.3,64.22,9.4,45.902
2023-02-26T11:00:00,2023-03-25T17:13:01,-31.3,34.89,3.9,33.526
2023-02-26T12:00:00,2023-03-25T17:12:01,-12.8,49.78,4.1,32.547
2023-02-26T13:00:00,2023-03-25T17:11:01,-13.6,31.64,7.7,32.78
2023-02-26T14:00:00,2023-03-25T17:10:01,-16.7,34.23,4.5,45.347
2023-02-26T15:00:00,2023-03-25T17:09:01,-18.1,67.53,1.5,40.925
2023-02-26T16:00:00,2023-03-25T17:08:01,-36.7,67.9,7.4,38.54
2023-02-26T17:00:00,2023-03-25T17:07:01,28.1,35.65,3.8,42.66
2023-02-26T18:00:00,2023-03-25T17:06:01,-43.4,58.46,3.4,38.734
2023-02-26T19:00:00,2023-03-25T17:05:01,78.2,47.86,7.2,29.354
2023-02-26T20:00:00,2023-03-25T17:04:01,59.5,40.38,4.7,39.824
2023-02-26T21:00:00,2023-03-25T17:03:01,29.1,63.35,9.4,48.053
2023-02-26T22:00:00,2023-03-25T17:02:02,-21,68.16,2.4,33.731
2023-02-26T23:00:00,2023-03-25T17:01:01,12.9,30.82,5.1,49.371
2023-02-27T00:00:00,2023-03-25T17:00:01,19.1,60.48,3.3,46.368

2023 03 26 - 03:23:02 
The current area is Eagle River:
Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-02-26T01:00:00,2023-03-25T17:23:01,67.3,65.27,5.4,47.494
2023-02-26T02:00:00,2023-03-25T17:22:01,-39,48.06,6.3,43.687
2023-02-26T03:00:00,2023-03-25T17:21:01,-54.6,63.78,8.9,40.918
2023-02-26T04:00:00,2023-03-25T17:20:01,90.6,38.33,1.3,39.083
2023-02-26T05:00:00,2023-03-25T17:19:01,46,65.13,9,42.587
2023-02-26T06:00:00,2023-03-25T17:18:01,43.4,58.27,7.3,35.559
2023-02-26T07:00:00,2023-03-25T17:17:01,23.4,39.48,8.8,39.515
2023-02-26T08:00:00,2023-03-25T17:16:01,-41.2,39.82,2.5,29.089
2023-02-26T09:00:00,2023-03-25T17:15:01,62.2,35.96,0.6,33.259
2023-02-26T10:00:00,2023-03-25T17:14:01,8.3,64.22,9.4,45.902
2023-02-26T11:00:00,2023-03-25T17:13:01,-31.3,34.89,3.9,33.526
2023-02-26T12:00:00,2023-03-25T17:12:01,-12.8,49.78,4.1,32.547
2023-02-26T13:00:00,2023-03-25T17:11:01,-13.6,31.64,7.7,32.78
2023-02-26T14:00:00,2023-03-25T17:10:01,-16.7,34.23,4.5,45.347
2023-02-26T15:00:00,2023-03-25T17:09:01,-18.1,67.53,1.5,40.925
2023-02-26T16:00:00,2023-03-25T17:08:01,-36.7,67.9,7.4,38.54
2023-02-26T17:00:00,2023-03-25T17:07:01,28.1,35.65,3.8,42.66
2023-02-26T18:00:00,2023-03-25T17:06:01,-43.4,58.46,3.4,38.734
2023-02-26T19:00:00,2023-03-25T17:05:01,78.2,47.86,7.2,29.354
2023-02-26T20:00:00,2023-03-25T17:04:01,59.5,40.38,4.7,39.824
2023-02-26T21:00:00,2023-03-25T17:03:01,29.1,63.35,9.4,48.053
2023-02-26T22:00:00,2023-03-25T17:02:02,-21,68.16,2.4,33.731
2023-02-26T23:00:00,2023-03-25T17:01:01,12.9,30.82,5.1,49.371
2023-02-27T00:00:00,2023-03-25T17:00:01,19.1,60.48,3.3,46.368

2023 03 26 - 03:23:02 
The current area is Eagle River:
Time,Forecast time,Temperature,Humidity,Wind,Pressure
